age,gender,education,county,employment_status,years_experience,job_applications,months_unemployed,unemployment_barrier,description,recommended_intervention
20,Male,Diploma,Kisumu,Student,5,37,23,Resource_Constraints,Starting my own business requires capital I don't have,Business incubation
21,Male,Diploma,Nakuru,Unemployed,5,27,23,Market_Mismatch,My field of study doesn't have many opportunities locally,Skill conversion training
34,Male,Diploma,Mombasa,Student,11,29,6,Resource_Constraints,Starting my own business requires capital I don't have,Transport subsidy
29,Male,Primary,Nyeri,Employed,13,18,11,Opportunity_Shortage,The economy isn't creating enough jobs for graduates,Entrepreneurship support
26,Female,Diploma,Eldoret,Unemployed,1,19,35,Opportunity_Shortage,The job market in Eldoret is saturated with job seekers,Job creation initiative
33,Female,Secondary,Mombasa,Self-employed,12,44,30,Skills_Gap,My current skills are outdated for the modern job market in Mombasa,Apprenticeship placement
35,Male,Secondary,Machakos,Unemployed,3,19,28,Skills_Gap,Companies want experience with technologies I haven't learned,Industry certifications
29,Female,Primary,Nakuru,Unemployed,3,30,16,Skills_Gap,My current skills are outdated for the modern job market in Nakuru,Technical training program
27,Male,Secondary,Kisumu,Student,14,4,28,Market_Mismatch,My skills are not valued in the current job market,Career redirection counseling
26,Female,Secondary,Nakuru,Unemployed,8,41,0,Skills_Gap,My current skills are outdated for the modern job market in Nakuru,Apprenticeship placement
18,Male,Bachelor,Mombasa,Self-employed,4,14,24,Resource_Constraints,The cost of living while job hunting is too high,Transport subsidy
28,Female,Bachelor,Nyeri,Unemployed,9,30,22,Opportunity_Shortage,Too many graduates are competing for too few positions,Public works program
23,Male,Masters,Kisumu,Employed,3,7,0,Skills_Gap,My education didn't provide practical skills employers need,Industry certifications
35,Male,Secondary,Kisumu,Self-employed,14,35,11,Resource_Constraints,Starting my own business requires capital I don't have,Job search stipend
19,Male,Secondary,Kakamega,Unemployed,9,27,1,Opportunity_Shortage,The job market in Kakamega is saturated with job seekers,Public works program
18,Male,Secondary,Nakuru,Unemployed,12,20,7,Skills_Gap,I need additional training to qualify for available positions,Industry certifications
22,Female,Masters,Nyeri,Employed,5,28,6,Geographic_Barrier,Jobs in my field are only available far from where I live,Relocation support
28,Female,Secondary,Mombasa,Employed,14,6,29,Geographic_Barrier,Jobs in my field are only available far from where I live,Remote work opportunity
23,Female,Primary,Kakamega,Unemployed,9,17,24,Opportunity_Shortage,There are very few job openings in Kakamega,Job creation initiative
24,Female,Diploma,Kisumu,Unemployed,10,10,28,Opportunity_Shortage,The economy isn't creating enough jobs for graduates,Entrepreneurship support
29,Female,Secondary,Nairobi,Employed,6,12,32,Geographic_Barrier,Living in Nairobi limits my access to job opportunities,Satellite office placement
31,Male,Bachelor,Kakamega,Unemployed,12,37,17,Skills_Gap,I need additional training to qualify for available positions,Technical training program
27,Female,Primary,Nakuru,Employed,12,4,23,Market_Mismatch,There's a disconnect between my education and available jobs,Skill conversion training
32,Male,Bachelor,Kisumu,Unemployed,13,21,29,Opportunity_Shortage,There are very few job openings in Kisumu,Public works program
26,Female,Bachelor,Mombasa,Unemployed,5,6,22,Skills_Gap,I need additional training to qualify for available positions,Technical training program
27,Female,Secondary,Mombasa,Unemployed,7,9,6,Skills_Gap,I need additional training to qualify for available positions,Industry certifications
26,Male,Secondary,Nyeri,Employed,12,23,35,Skills_Gap,My current skills are outdated for the modern job market in Nyeri,Industry certifications
32,Female,Secondary,Eldoret,Employed,9,33,33,Geographic_Barrier,There's an urban-rural divide in job availability,Satellite office placement
34,Male,Bachelor,Eldoret,Student,8,18,29,Opportunity_Shortage,The job market in Eldoret is saturated with job seekers,Public works program
35,Female,Bachelor,Nakuru,Unemployed,5,47,16,Resource_Constraints,I lack resources to continue searching for jobs,Job search stipend
32,Female,Bachelor,Mombasa,Self-employed,7,26,8,Market_Mismatch,There's a disconnect between my education and available jobs,Industry transition program
23,Female,Secondary,Eldoret,Employed,14,11,3,Opportunity_Shortage,There are very few job openings in Eldoret,Entrepreneurship support
21,Male,Bachelor,Nakuru,Unemployed,6,14,14,Opportunity_Shortage,There are very few job openings in Nakuru,Entrepreneurship support
18,Female,Secondary,Machakos,Employed,2,12,35,Geographic_Barrier,Remote work options are limited in my field,Relocation support
27,Female,Secondary,Machakos,Employed,9,15,16,Resource_Constraints,I lack resources to continue searching for jobs,Transport subsidy
24,Female,Bachelor,Nakuru,Unemployed,3,2,22,Opportunity_Shortage,Too many graduates are competing for too few positions,Gig economy onboarding
30,Female,Diploma,Eldoret,Self-employed,5,42,31,Resource_Constraints,I can't afford the transportation costs for interviews,Transport subsidy
33,Male,Diploma,Nyeri,Employed,10,6,25,Resource_Constraints,I lack resources to continue searching for jobs,Transport subsidy
32,Female,Bachelor,Kisumu,Student,4,16,19,Skills_Gap,I need additional training to qualify for available positions,Technical training program
20,Female,Diploma,Nyeri,Employed,8,21,11,Resource_Constraints,Starting my own business requires capital I don't have,Business incubation
28,Male,Secondary,Eldoret,Employed,14,31,10,Geographic_Barrier,There's an urban-rural divide in job availability,Remote work opportunity
30,Male,Bachelor,Nakuru,Unemployed,8,37,9,Opportunity_Shortage,There are very few job openings in Nakuru,Public works program
18,Female,Bachelor,Mombasa,Employed,8,9,14,Resource_Constraints,I lack resources to continue searching for jobs,Job search stipend
29,Female,Diploma,Nyeri,Self-employed,0,2,13,Geographic_Barrier,Remote work options are limited in my field,Satellite office placement
18,Female,Secondary,Machakos,Employed,1,48,17,Opportunity_Shortage,The economy isn't creating enough jobs for graduates,Entrepreneurship support
22,Female,Secondary,Nairobi,Self-employed,2,29,21,Skills_Gap,My current skills are outdated for the modern job market in Nairobi,Technical training program
18,Female,Secondary,Kisumu,Unemployed,9,15,13,Skills_Gap,I lack the technical skills needed for jobs in my field,Apprenticeship placement
20,Female,Primary,Machakos,Employed,7,4,30,Geographic_Barrier,I can't relocate to where the jobs are available,Remote work opportunity
26,Male,Primary,Nyeri,Unemployed,7,7,21,Resource_Constraints,I need financial support to relocate where jobs are available,Transport subsidy
27,Male,Secondary,Mombasa,Employed,8,43,26,Resource_Constraints,I need financial support to relocate where jobs are available,Startup capital support
20,Female,Bachelor,Machakos,Employed,1,27,5,Geographic_Barrier,Living in Machakos limits my access to job opportunities,Satellite office placement
20,Female,Bachelor,Nairobi,Unpaid work,2,31,25,Market_Mismatch,The industry I trained for is declining in Kenya,Skill conversion training
23,Female,Secondary,Nakuru,Employed,14,17,17,Resource_Constraints,I lack resources to continue searching for jobs,Transport subsidy
21,Male,PhD,Nairobi,Unpaid work,7,11,5,Resource_Constraints,Starting my own business requires capital I don't have,Business incubation
22,Female,Secondary,Kisumu,Unemployed,1,11,7,Opportunity_Shortage,The job market in Kisumu is saturated with job seekers,Entrepreneurship support
31,Male,Masters,Machakos,Unemployed,4,38,11,Skills_Gap,My current skills are outdated for the modern job market in Machakos,Technical training program
24,Female,Diploma,Nakuru,Employed,8,1,28,Geographic_Barrier,Jobs in my field are only available far from where I live,Relocation support
30,Male,Bachelor,Eldoret,Unemployed,0,12,29,Skills_Gap,My current skills are outdated for the modern job market in Eldoret,Apprenticeship placement
29,Male,Bachelor,Nakuru,Employed,9,38,4,Market_Mismatch,My field of study doesn't have many opportunities locally,Career redirection counseling
29,Male,Secondary,Nyeri,Employed,9,27,9,Resource_Constraints,The cost of living while job hunting is too high,Transport subsidy
28,Female,Diploma,Kisumu,Employed,11,2,9,Resource_Constraints,I can't afford the transportation costs for interviews,Job search stipend
20,Male,Secondary,Machakos,Unemployed,8,37,13,Resource_Constraints,I can't afford the transportation costs for interviews,Startup capital support
29,Female,Secondary,Nakuru,Unemployed,6,43,4,Geographic_Barrier,I can't relocate to where the jobs are available,Satellite office placement
24,Female,Diploma,Mombasa,Unemployed,8,11,25,Geographic_Barrier,I can't relocate to where the jobs are available,Commuter subsidy
27,Female,Diploma,Machakos,Unemployed,2,7,26,Skills_Gap,My education didn't provide practical skills employers need,Apprenticeship placement
33,Female,Secondary,Nyeri,Employed,7,29,8,Geographic_Barrier,Jobs in my field are only available far from where I live,Remote work opportunity
19,Male,Diploma,Nairobi,Unemployed,6,23,27,Skills_Gap,My education didn't provide practical skills employers need,Digital skills bootcamp
18,Male,Primary,Mombasa,Employed,11,2,32,Geographic_Barrier,Remote work options are limited in my field,Remote work opportunity
30,Female,Bachelor,Mombasa,Student,10,11,14,Skills_Gap,I lack the technical skills needed for jobs in my field,Technical training program
27,Female,Primary,Nairobi,Unpaid work,1,28,29,Resource_Constraints,I can't afford the transportation costs for interviews,Transport subsidy
35,Female,PhD,Nyeri,Student,4,10,21,Opportunity_Shortage,Companies aren't hiring in my field right now,Gig economy onboarding
31,Female,Secondary,Machakos,Self-employed,10,44,0,Opportunity_Shortage,There are very few job openings in Machakos,Job creation initiative
32,Male,Diploma,Nakuru,Unemployed,12,8,14,Skills_Gap,My current skills are outdated for the modern job market in Nakuru,Technical training program
35,Female,Masters,Nairobi,Unemployed,5,13,6,Market_Mismatch,The industry I trained for is declining in Kenya,Industry transition program
31,Male,Diploma,Kisumu,Employed,6,30,34,Opportunity_Shortage,The economy isn't creating enough jobs for graduates,Public works program
30,Male,Primary,Mombasa,Unemployed,0,28,34,Opportunity_Shortage,Companies aren't hiring in my field right now,Gig economy onboarding
27,Male,Masters,Kakamega,Self-employed,6,21,2,Geographic_Barrier,Remote work options are limited in my field,Satellite office placement
31,Female,Primary,Machakos,Employed,2,42,4,Resource_Constraints,Starting my own business requires capital I don't have,Transport subsidy
26,Male,Diploma,Kisumu,Self-employed,2,22,17,Market_Mismatch,My field of study doesn't have many opportunities locally,Alternative career path mentorship
19,Female,Secondary,Nakuru,Unemployed,5,18,22,Geographic_Barrier,Remote work options are limited in my field,Relocation support
32,Female,Secondary,Kakamega,Unemployed,13,48,28,Opportunity_Shortage,The job market in Kakamega is saturated with job seekers,Gig economy onboarding
35,Female,Secondary,Nyeri,Unemployed,2,5,3,Resource_Constraints,The cost of living while job hunting is too high,Startup capital support
31,Female,Secondary,Machakos,Unpaid work,6,37,29,Resource_Constraints,Starting my own business requires capital I don't have,Business incubation
19,Female,Diploma,Machakos,Unemployed,9,46,19,Opportunity_Shortage,The job market in Machakos is saturated with job seekers,Gig economy onboarding
29,Female,Primary,Mombasa,Student,3,48,5,Skills_Gap,My education didn't provide practical skills employers need,Industry certifications
22,Female,Secondary,Nakuru,Self-employed,2,12,1,Geographic_Barrier,I can't relocate to where the jobs are available,Remote work opportunity
25,Male,Primary,Nairobi,Unemployed,0,27,9,Skills_Gap,I need additional training to qualify for available positions,Industry certifications
21,Female,Primary,Nyeri,Student,10,9,2,Skills_Gap,Companies want experience with technologies I haven't learned,Digital skills bootcamp
32,Female,Bachelor,Kakamega,Self-employed,7,8,26,Resource_Constraints,The cost of living while job hunting is too high,Business incubation
30,Male,Bachelor,Kakamega,Unemployed,13,40,35,Market_Mismatch,There's a disconnect between my education and available jobs,Alternative career path mentorship
31,Female,Secondary,Eldoret,Self-employed,2,19,11,Geographic_Barrier,There's an urban-rural divide in job availability,Relocation support
32,Male,Diploma,Eldoret,Employed,12,46,25,Geographic_Barrier,Jobs in my field are only available far from where I live,Commuter subsidy
32,Female,Bachelor,Nyeri,Unemployed,1,21,27,Market_Mismatch,The industry I trained for is declining in Kenya,Career redirection counseling
35,Female,Bachelor,Nairobi,Employed,11,25,27,Market_Mismatch,The industry I trained for is declining in Kenya,Skill conversion training
30,Male,Secondary,Kakamega,Unpaid work,14,36,3,Market_Mismatch,My Secondary qualification doesn't match what employers want,Skill conversion training
30,Female,Bachelor,Nyeri,Self-employed,7,41,12,Skills_Gap,Companies want experience with technologies I haven't learned,Technical training program
24,Male,Bachelor,Nairobi,Employed,11,13,7,Market_Mismatch,My Bachelor qualification doesn't match what employers want,Alternative career path mentorship
31,Female,Bachelor,Nairobi,Unemployed,13,33,32,Opportunity_Shortage,The job market in Nairobi is saturated with job seekers,Entrepreneurship support
29,Male,Diploma,Machakos,Employed,1,28,35,Opportunity_Shortage,The job market in Machakos is saturated with job seekers,Public works program
23,Female,Masters,Machakos,Student,10,12,6,Skills_Gap,My education didn't provide practical skills employers need,Technical training program
28,Male,Secondary,Kakamega,Employed,7,28,16,Opportunity_Shortage,The job market in Kakamega is saturated with job seekers,Gig economy onboarding
34,Female,Diploma,Kisumu,Unemployed,13,16,19,Market_Mismatch,The industry I trained for is declining in Kenya,Career redirection counseling
34,Female,Secondary,Kisumu,Self-employed,11,21,9,Skills_Gap,I lack the technical skills needed for jobs in my field,Digital skills bootcamp
25,Female,Secondary,Mombasa,Self-employed,1,28,27,Skills_Gap,I lack the technical skills needed for jobs in my field,Technical training program
20,Male,Bachelor,Kakamega,Self-employed,0,3,1,Geographic_Barrier,Jobs in my field are only available far from where I live,Remote work opportunity
29,Female,Bachelor,Machakos,Self-employed,14,11,21,Resource_Constraints,Starting my own business requires capital I don't have,Transport subsidy
21,Female,Primary,Eldoret,Employed,5,49,13,Opportunity_Shortage,There are very few job openings in Eldoret,Public works program
26,Male,Primary,Eldoret,Unpaid work,10,47,3,Opportunity_Shortage,There are very few job openings in Eldoret,Public works program
24,Female,Primary,Kisumu,Employed,3,23,22,Skills_Gap,Companies want experience with technologies I haven't learned,Digital skills bootcamp
31,Male,Secondary,Eldoret,Student,5,34,25,Opportunity_Shortage,There are very few job openings in Eldoret,Job creation initiative
31,Male,Diploma,Nakuru,Unpaid work,2,44,22,Resource_Constraints,I need financial support to relocate where jobs are available,Job search stipend
32,Male,Bachelor,Mombasa,Self-employed,5,18,15,Market_Mismatch,The industry I trained for is declining in Kenya,Industry transition program
34,Male,Secondary,Eldoret,Unemployed,1,7,20,Resource_Constraints,I lack resources to continue searching for jobs,Job search stipend
22,Female,Bachelor,Kakamega,Unpaid work,8,17,34,Opportunity_Shortage,Companies aren't hiring in my field right now,Entrepreneurship support
24,Male,Diploma,Nakuru,Unemployed,7,10,2,Opportunity_Shortage,The economy isn't creating enough jobs for graduates,Public works program
29,Female,Diploma,Nairobi,Student,14,39,16,Market_Mismatch,There's a disconnect between my education and available jobs,Career redirection counseling
24,Female,Secondary,Kisumu,Unemployed,4,30,31,Opportunity_Shortage,The economy isn't creating enough jobs for graduates,Entrepreneurship support
34,Female,Secondary,Eldoret,Unemployed,2,5,10,Skills_Gap,My current skills are outdated for the modern job market in Eldoret,Digital skills bootcamp
24,Male,Secondary,Kakamega,Self-employed,5,6,26,Opportunity_Shortage,The job market in Kakamega is saturated with job seekers,Public works program
22,Male,Bachelor,Mombasa,Employed,3,37,22,Market_Mismatch,My skills are not valued in the current job market,Skill conversion training
19,Female,Secondary,Eldoret,Unemployed,0,37,2,Skills_Gap,My education didn't provide practical skills employers need,Digital skills bootcamp
32,Female,Bachelor,Machakos,Employed,2,38,24,Opportunity_Shortage,Companies aren't hiring in my field right now,Job creation initiative
35,Male,Primary,Eldoret,Employed,3,30,18,Geographic_Barrier,There's an urban-rural divide in job availability,Remote work opportunity
21,Female,Bachelor,Kakamega,Unemployed,13,13,16,Skills_Gap,My education didn't provide practical skills employers need,Digital skills bootcamp
32,Female,Primary,Kakamega,Student,8,14,2,Skills_Gap,I lack the technical skills needed for jobs in my field,Technical training program
31,Female,Primary,Nakuru,Unemployed,4,46,26,Skills_Gap,I lack the technical skills needed for jobs in my field,Industry certifications
31,Female,Primary,Nyeri,Employed,9,49,24,Skills_Gap,I need additional training to qualify for available positions,Digital skills bootcamp
29,Female,Primary,Nyeri,Unemployed,14,0,9,Skills_Gap,Companies want experience with technologies I haven't learned,Industry certifications
27,Female,Secondary,Kakamega,Unpaid work,13,27,18,Opportunity_Shortage,Companies aren't hiring in my field right now,Job creation initiative
27,Female,Secondary,Kisumu,Employed,9,47,27,Resource_Constraints,The cost of living while job hunting is too high,Job search stipend
18,Female,Diploma,Nairobi,Unemployed,9,26,16,Market_Mismatch,My skills are not valued in the current job market,Skill conversion training
21,Male,Masters,Eldoret,Unpaid work,0,14,5,Market_Mismatch,My Masters qualification doesn't match what employers want,Career redirection counseling
